,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
7644,2,3,1,2,23201,1,23,1,5.0,8.0,1.0,1.0,,2.0,2.0,1,2,1,2.0,,,2.0,6.5,1.0,0,3,1.83
24144,1,3,1,2,73201,4,73,1,3.0,2.0,3.0,2.0,1.0,2.0,2.0,4,,1,2.0,,,2.0,2.5,2.0,0,0,4.17
7387,2,1,1,2,23104,1,23,1,5.0,8.0,2.0,1.0,2.0,2.0,2.0,3,2,2,2.0,,,1.0,6.5,2.0,0,2,3.67
1744,2,1,1,2,11201,3,112,3,8.0,8.0,2.0,1.0,2.0,2.0,2.0,1,2,1,2.0,,,2.0,8.0,2.0,0,3,3.67
24845,1,1,1,2,81102,4,81,1,6.0,6.0,1.0,1.0,,2.0,2.0,3,4,1,1.0,1,1,2.0,6.0,1.0,0,2,1.83
11997,2,1,1,2,41301,3,413,1,6.0,4.0,1.0,1.0,,1.0,2.0,3,4,2,1.0,1,2,2.0,5.0,1.0,1,2,5.83
6485,1,2,1,2,22301,1,22,1,2.0,2.0,1.0,2.0,,2.0,2.0,1,2,2,1.0,1,2,1.0,2.0,2.0,0,3,3.17
25597,1,2,1,2,82101,4,82,1,6.0,3.0,1.0,2.0,,2.0,2.0,2,1,1,1.0,1,2,2.0,4.5,2.0,0,1,3.17
31538,1,2,1,2,104101,4,109,1,8.0,8.0,,,,2.0,2.0,1,1,2,2.0,,,1.0,8.0,0.0,0,3,
26383,2,1,1,2,91201,5,912,1,8.0,8.0,1.0,2.0,,2.0,2.0,1,5,2,2.0,,,1.0,8.0,2.0,0,3,3.17
11375,1,1,1,2,41301,3,413,1,8.0,5.0,1.0,1.0,,2.0,2.0,3,5,2,2.0,,,2.0,6.5,1.0,0,2,1.83
21403,1,1,1,2,71501,4,71,1,8.0,8.0,2.0,1.0,2.0,1.0,2.0,2,3,1,1.0,2,2,3.0,8.0,2.0,1,1,7.67
22895,1,2,1,2,72102,2,72,1,4.0,5.0,3.0,1.0,2.0,1.0,2.0,3,2,2,2.0,,,2.0,4.5,2.0,1,2,8.17
